source,content,classification
Viral image,Photo shows former President Donald Trump and Jeffrey Epstein on a couch with girls.,incredible
Facebook posts,"""Si lleva más de 6 meses viviendo en Estados Unidos puede solicitar implantes dentales sin coste alguno"".",incredible
Viral image,Actor Mark Wahlberg said “Hollywood pedophiles have ‘nowhere left to hide.’”,incredible
Instagram posts,Former FBI agent Ted Gunderson was murdered.,incredible
Donald Trump,Florida has “the highest” homeowners insurance in the nation.,credible
Facebook posts,"""Congreso de EEUU autoriza” congelar 3 mil millones de Rusia para defensa de Ucrania.",incredible
Facebook posts,"Photos show Target is pushing ""evil agenda"" on kids.",incredible
Instagram posts,"""Florida to ban mRNA vaccines as credible evidence of biological weapons.""",incredible
David Wolfe,“Stop getting mammograms immediately as they are outdated and dangerous!” Thermography “is a safer way to test for breast cancer!”,incredible
David Harris Jr.,"The U.S. Justice Department removed international child sex trafficking from its ""list of offenses that deserve a high degree of attention.""",incredible
Facebook posts,Video shows Sen. Ted Cruz asking the Supreme Court to file charges against an aide to Attorney General Merrick Garland.,incredible
Viral image,The World Economic Forum “bans natural conception” because “all babies must be lab-grown by 2030.”,incredible
Facebook posts,Video shows ‘truth’ that fungus may be the “next government project.”,incredible
Viral image,Video shows “footage of an actual demonic possession in 1896.”,incredible
Instagram posts,Health professionals are being “urged” to call vaginas “bonus holes” to avoid offending transgender or nonbinary patients.,incredible
Instagram posts,Video shows Neil deGrasse Tyson describing how NASA faked the moon landing.,incredible
Instagram posts,Ohio replaced lethal injection “with a system that quickly and humanely rips off the heads of death-row inmates using powerful robotic arms.”,incredible
Viral image,Video shows a girl hitting former Vice President Mike Pence in the head with a water balloon.,incredible
Facebook posts,“Miss USA boycotts Miss Universe pageant: ‘I’m not competing against a man.’”,incredible
TikTok posts,"AMC is intentionally deterring people from seeing 'Sound of Freedom' with no A/C, fire alarms and other issues.",incredible
Instagram posts,“Joe Biden announced that the U.S. dollar will now become cryptocurrency.”,incredible
Instagram posts,“No human is allowed to travel to Antarctica.”,incredible
Instagram posts,“Donald Trump arrested” July 5.,incredible
Instagram posts,“Biden points and waves to nobody again.”,incredible
Instagram posts,“Donald Trump and Joe Biden both died years ago.”,incredible
Instagram posts,“French President Macron has declared a total ban on social media reporting of events in France.”,incredible
Facebook posts,Police say thousands of people witnessed a “demonic portal opening above White House.”,incredible
Facebook posts,"""The sand storm headed our way is an attempt by Bill Gates to block out the sun.”",incredible
Facebook posts,"""Zero Amish children diagnosed with cancer, diabetes or autism.""",incredible
Ron DeSantis,Federal “agencies and government have grown 50% since 2019.”,credible
Facebook posts,Video shows “breaking news” because “President Trump just dropped a bombshell!!!”,incredible
Instagram posts,Video of Hunter Biden at the White House was taken on the “same day they found cocaine.”,incredible
Facebook posts,“Free dental implants” are available “through Dental Grants.”,incredible
TikTok posts,The Associated Press reported that cameras show a TikTok influencer leaving a bag of cocaine in the West Wing of the White House.,incredible
Threads posts,El logo de Threads oculta “el número de la bestia” 666.,incredible
Facebook posts,“Nuevo programa de Green Card” aprobado.,incredible
Viral image,"U.S. Rep. Marjorie Taylor Greene said, “How can the Titanic submersible run out of air if you breathe both in and out? I feel like this is more fake news BS.”",incredible
Facebook posts,"A video shows people holding up their phones to film President Joe Biden, but “every phone there is turned off.”",incredible
TikTok posts,"""Tejas, Florida y otros estados acaban de anunciar que le darán papeles a todos los inmigrantes indocumentados"".",incredible
Facebook posts,"“In Switzerland, it is illegal to flush the toilet after 10 p.m. in apartments to avoid disturbing neighbors.”",incredible
Viral image,Video shows Elon Musk “urging everyone in the UK to take advantage of this great opportunity before the big banks close completely.”,incredible
Instagram posts,Video shows the city of San Diego displaying a flag supportive of pedophilia.,incredible
Facebook posts,Video shows a Senate committee hearing witness who “cries to Josh Hawley for ‘no jailtime.’”,incredible
Viral image,Photos prove former Vice President Mike Pence and King Charles III have clones.,incredible
Fox News Channel,Gender Queer on NEA Summer Reading List for Kids.,incredible
Viral image,“Biden is impeached!!! Finally! For high crimes and misdemeanors.”,incredible
Viral image,John Podesta is the son of Laurance Rockefeller.,incredible
Facebook posts,Deaths of four alternative medicine doctors show they are being targeted for their ideas.,incredible
Viral image,Video shows President Joe Biden apologizing for flatulence.,incredible
Viral image,"Florida Gov. Ron DeSantis said in his yearbook that his “Mount Rushmore is Jesus, Sir-Mixes-a-Lot, and Nintendo 64.”",incredible
Tweets,"Footage of nuclear explosions proves that ""nukes are fake.""",incredible
Instagram posts,The Wall Street Journal reporting proves that “Pizzagate” is real.,incredible
Facebook posts,A video shows Disney is opening pediatric transgender clinics.,incredible
Instagram posts,Video shows Joe Biden leaning in and sniffing a child.,incredible
Facebook posts,Former President Barack Obama “is being sent to Gitmo.”,incredible
Instagram posts,Protestors in France have released animals from the zoo.,incredible
Facebook posts,"""Bibles banned in California moves one step closer to evil reality.""",incredible
Facebook posts,“Justin Trudeau is being investigated by the (Royal Canadian Mounted Police).”,incredible
Facebook posts,"“El Titanic no se hundió en 1912 sino que fue el Olympic, otro transatlántico casi idéntico el que se hundió”.",incredible
Facebook posts,"""Ovnis desenterrados en Rusia"".",incredible
TikTok posts,"""Ovni estrellado en el Caribe"".",incredible
Threads posts,Elon Musk tweeted that he “just downloaded Threads” and it “sucks.”,incredible
Facebook posts,Bill Gates is behind the five recent cases of malaria in the United States.,incredible
Facebook posts,President Joe Biden died and Vice President Kamala Harris was sworn into office.,incredible
Facebook posts,"The World Economic Forum ""wants to slaughter millions of pet cats and dogs to fight climate change.""",incredible
Facebook posts,More than “200 dogs showed up and lined up around the block” for a man’s 100th birthday celebration.,credible
Mike Pence,"“The fact is, today abortion law in the United States is more aligned with China and North Korea than with Western nations in Europe.”",incredible
Facebook posts,France said it would shut down internet services “to control the riots.”,incredible
Sid Miller,Garth Brooks played to a “half-empty arena” in Illinois.,incredible
Facebook posts,"“El multimillonario Elon Musk ha anunciado que su futura esposa será Catanella, la primera chica robótica que ha creado usando inteligencia artificial"".",incredible
TikTok posts,Joe Biden launched unarmed nuclear bombs as a “Russia threat.”,incredible
